Date,Adj Close,Close,High,Low,Open,Volume,Log_Return
2023-01-03,6888.7578125,6888.7578125,6908.001953125,6838.57421875,6850.98388671875,156894900,0.0054985052525945936
2023-01-04,6813.23876953125,6813.23876953125,6900.60302734375,6813.23876953125,6888.798828125,142541400,-0.011023182966345463
2023-01-05,6653.8408203125,6653.8408203125,6813.421875,6621.98681640625,6813.27978515625,180589300,-0.023673342439321142
2023-01-06,6684.55810546875,6684.55810546875,6708.63720703125,6598.64599609375,6653.759765625,109855600,0.004605851066510053
2023-01-09,6688.26513671875,6688.26513671875,6726.9658203125,6638.64599609375,6684.55810546875,135949700,0.0005544126737962835
2023-01-10,6622.4990234375,6622.4990234375,6690.22900390625,6570.2431640625,6688.26513671875,144817300,-0.009881723941979576
2023-01-11,6584.453125,6584.453125,6622.794921875,6557.919921875,6622.5390625,124903900,-0.005761511551544223
2023-01-12,6629.93408203125,6629.93408203125,6662.22900390625,6574.0888671875,6584.494140625,148901900,0.006883578618725169
2023-01-13,6641.830078125,6641.830078125,6658.47607421875,6600.59423828125,6629.93408203125,165594900,0.0017926779192331446
2023-01-16,6688.05712890625,6688.05712890625,6688.05712890625,6627.69677734375,6641.830078125,154893500,0.0069358780582654935
2023-01-17,6767.33984375,6767.33984375,6801.87109375,6688.05712890625,6688.05712890625,217634400,0.011784658981976578
2023-01-18,6765.7861328125,6765.7861328125,6790.1640625,6721.4638671875,6767.17822265625,194959200,-0.00022961597298620185
2023-01-19,6819.9072265625,6819.9072265625,6820.98486328125,6754.5517578125,6765.74609375,154234600,0.007967407863077905
2023-01-20,6874.93115234375,6874.93115234375,6874.93115234375,6819.5322265625,6819.9072265625,173846000,0.008035760678428396
2023-01-24,6860.85400390625,6860.85400390625,6906.791015625,6841.0068359375,6874.93115234375,196805400,-0.0020497049430931113
2023-01-25,6829.93017578125,6829.93017578125,6871.36376953125,6821.27978515625,6860.85400390625,187905300,-0.004517473989675744
2023-01-26,6864.81787109375,6864.81787109375,6874.869140625,6815.78515625,6829.97021484375,171067600,0.005095058436367361
2023-01-27,6898.98095703125,6898.98095703125,6932.708984375,6864.81787109375,6864.81787109375,149187500,0.0049642045080367635
2023-01-30,6872.48095703125,6872.48095703125,6925.46923828125,6834.0810546875,6899.02197265625,134698100,-0.0038485431501189744
2023-01-31,6839.341796875,6839.341796875,6880.9599609375,6827.2431640625,6872.52099609375,151785000,-0.004833671682312839
2023-02-01,6862.2578125,6862.2578125,6893.18408203125,6838.916015625,6838.916015625,145899200,0.00334501629676095
2023-02-02,6890.57177734375,6890.57177734375,6896.73193359375,6855.3671875,6862.2578125,189189500,0.004117553360530409
2023-02-03,6911.73193359375,6911.73193359375,6951.966796875,6890.7138671875,6890.7138671875,202858400,0.0030661798597080574
2023-02-06,6873.791015625,6873.791015625,6924.8828125,6835.7578125,6911.73193359375,143480000,-0.005504472178066275
2023-02-07,6935.30078125,6935.30078125,6946.23388671875,6873.791015625,6873.791015625,173101600,0.008908648495415322
2023-02-08,6940.1240234375,6940.1240234375,6961.9189453125,6912.10888671875,6935.30078125,172668200,0.0006952208598527644
2023-02-09,6897.365234375,6897.365234375,6961.15185546875,6896.0400390625,6940.1240234375,176681300,-0.0061801565820282225
2023-02-10,6880.3291015625,6880.3291015625,6895.23779296875,6803.41796875,6895.23779296875,140803700,-0.002473003258672875
2023-02-13,6900.14013671875,6900.14013671875,6915.14404296875,6871.8828125,6880.3291015625,213914100,0.0028752357357084623
2023-02-14,6941.85498046875,6941.85498046875,6941.85498046875,6900.14013671875,6900.14013671875,162808100,0.006027305989194362
2023-02-15,6914.5380859375,6914.5380859375,6946.0341796875,6872.869140625,6941.85498046875,148477900,-0.0039428630221077475
2023-02-16,6895.6640625,6895.6640625,6933.28076171875,6875.30078125,6914.5380859375,173648600,-0.002733346693346745
2023-02-17,6895.7138671875,6895.7138671875,6919.091796875,6868.27978515625,6895.6640625,180098400,7.222583233486983e-06
2023-02-20,6894.716796875,6894.716796875,6910.5048828125,6863.6708984375,6895.85595703125,175859700,-0.00014460321632096387
2023-02-21,6873.40478515625,6873.40478515625,6923.6728515625,6870.9111328125,6894.716796875,144215700,-0.00309585132779185
2023-02-22,6809.9677734375,6809.9677734375,6875.39013671875,6781.22900390625,6873.26318359375,149215500,-0.009272197470185253
2023-02-23,6839.4541015625,6839.4541015625,6839.4541015625,6806.9970703125,6810.10888671875,124488600,0.004320530827375111
2023-02-24,6856.576171875,6856.576171875,6880.31201171875,6839.4541015625,6839.4541015625,130300200,0.002500298099600083
2023-02-27,6854.77685546875,6854.77685546875,6871.11181640625,6819.8720703125,6856.576171875,127631500,-0.0002624564348960014
2023-02-28,6843.23876953125,6843.23876953125,6890.35400390625,6843.23876953125,6854.77685546875,167931100,-0.0016846365170148077
2023-03-01,6844.93603515625,6844.93603515625,6889.51416015625,6833.18896484375,6843.09814453125,146293200,0.0002479900582680676
2023-03-02,6857.4150390625,6857.4150390625,6875.09814453125,6841.86181640625,6845.078125,136086000,0.0018214403190712717
